Metadata Signature: 0x14d14 0x10001424a5342 12
.NET Version: v2.0.50727
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 537c
Stream name: #~ 4
DirectoryAddress: 53e8 Size: 57c4
Stream name: #Strings 12
DirectoryAddress: abac Size: cc
Stream name: #US 4
DirectoryAddress: ac78 Size: 10
Stream name: #GUID 8
DirectoryAddress: ac88 Size: 1ac8
Stream name: #Blob 8
[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
170   0x0000ec87 0x00410887 4   5    .text   ascii   *V~z
171   0x0000eedc 0x00410adc 4   20   .text   utf32le #8MȠ blocks=Basic Latin,Latin Extended-B
172   0x0000ef4e 0x00410b4e 4   5    .text   ascii   \n*\e0
173   0x0000faac 0x004116ac 4   5    .text   ascii   \t\toS
174   0x0000fb0a 0x0041170a 4   5    .text   ascii   \a\bsd
175   0x0000fc2a 0x0041182a 4   5    .text   ascii   \n*\e0
176   0x0001006e 0x00411c6e 4   5    .text   ascii   \nYo{
177   0x0001015c 0x00411d5c 6   28   .text   utf32le \f??ùģ  blocks=Basic Latin,Latin-1 Supplement,Latin Extended-A
178   0x00010638 0x00412238 4   20   .text   utf32le \bRhR
179   0x0001073e 0x0041233e 4   5    .text   ascii   \nYo{
180   0x0001166e 0x0041326e 4   5    .text   ascii   \b\a(\b
181   0x00011710 0x00413310 4   5    .text   ascii   \b\a(\b
182   0x00011a43 0x00413643 4   5    .text   ascii   X\f\b\a
183   0x00011eed 0x00413aed 4   5    .text   ascii   \n\v\ao
184   0x0001240f 0x0041400f 4   5    .text   ascii    RCC
185   0x00012423 0x00414023 5   6    .text   ascii   & RCC
186   0x000126d8 0x004142d8 4   5    .text   ascii   \v\a9k
187   0x00012e82 0x00414a82 5   6    .text   ascii   \n\r\b\t(
188   0x00013c92 0x00415892 4   5    .text   ascii   &*\e0
189   0x00013d76 0x00415976 4   5    .text   ascii   \n*\v0
190   0x0001440a 0x0041600a 5   6    .text   ascii   \nYX\n 
191   0x00014431 0x00416031 5   6    .text   ascii   \nY\n8w
192   0x000145a4 0x004161a4 4   5    .text   ascii   \n& \v
193   0x00014951 0x00416551 4   5    .text   ascii   <X\v\a
194   0x00014c90 0x00416890 4   5    .text   ascii   \n\ao\n
195   0x00014d12 0x00416912 6   7    .text   ascii   \n*BSJB
196   0x00014d24 0x00416924 10  11   .text   ascii   v2.0.50727
197   0x00014d48 0x00416948 8   9    .text   ascii   #Strings
198   0x00014d68 0x00416968 5   6    .text   ascii   #GUID
199   0x00014d78 0x00416978 5   6    .text   ascii   #Blob
200   0x00014ea8 0x00416aa8 4   5    .text   ascii   !\t'\t
201   0x00014eae 0x00416aae 4   5    .text   ascii   L\t'\t
202   0x00014ebb 0x00416abb 4   5    .text   ascii   \v'\t\n
203   0x00014f2c 0x00416b2c 4   5    .text   ascii   Y\f'\t
204   0x0001509a 0x00416c9a 4   5    .text   ascii   q+{+
205   0x000150fa 0x00416cfa 4   5    .text   ascii   73C3
206   0x00015112 0x00416d12 4   5    .text   ascii   o3C3
207   0x00015130 0x00416d30 4   5    .text   ascii   P4C3
208   0x00015136 0x00416d36 4   5    .text   ascii   e4C3
209   0x00015160 0x00416d60 4   5    .text   ascii   D:K:
210   0x00015166 0x00416d66 4   5    .text   ascii   b:K:
211   0x0001516c 0x00416d6c 4   5    .text   ascii   g<y<
212   0x000151a2 0x00416da2 4   5    .text   ascii   n?K:
213   0x000151b4 0x00416db4 4   5    .text   ascii   \b@'\t
214   0x000151c0 0x00416dc0 4   5    .text   ascii   S@K:
215   0x000151c6 0x00416dc6 5   6    .text   ascii   g@K:k
216   0x000151f6 0x00416df6 4   5    .text   ascii   \vBK:
217   0x000151fc 0x00416dfc 4   5    .text   ascii   (B'\t
218   0x00015202 0x00416e02 4   5    .text   ascii   nB'\t
219   0x0001525c 0x00416e5c 4   5    .text   ascii   1G{+
220   0x00015268 0x00416e68 4   5    .text   ascii   DG{+
221   0x0001526e 0x00416e6e 4   5    .text   ascii   dG{+
222   0x00015286 0x00416e86 4   5    .text   ascii   uJK:
223   0x000152aa 0x00416eaa 4   5    .text   ascii   *O'\t
224   0x000152c2 0x00416ec2 4   5    .text   ascii   &P'\t
225   0x000152da 0x00416eda 4   5    .text   ascii   kR'\t
226   0x000152e0 0x00416ee0 4   5    .text   ascii   }R'\t
227   0x000152f2 0x00416ef2 4   5    .text   ascii   "U!@
228   0x000152f8 0x00416ef8 4   5    .text   ascii   ;U!@
229   0x000152fe 0x00416efe 4   5    .text   ascii   PUgU
230   0x0001536a 0x00416f6a 4   5    .text   ascii   >W!@
231   0x0001558e 0x0041718e 4   10   .text   utf16le M¤Õē blocks=Basic Latin,Latin-1 Supplement,Latin Extended-A
232   0x0001559c 0x0041719c 4   10   .text   utf16le M¤Õē blocks=Basic Latin,Latin-1 Supplement,Latin Extended-A
233   0x000155aa 0x004171aa 4   10   .text   utf16le M¤Õē blocks=Basic Latin,Latin-1 Supplement,Latin Extended-A
234   0x000155b8 0x004171b8 4   10   .text   utf16le M¤Õē blocks=Basic Latin,Latin-1 Supplement,Latin Extended-A
235   0x000155c6 0x004171c6 4   10   .text   utf16le M¤Õē blocks=Basic Latin,Latin-1 Supplement,Latin Extended-A
236   0x000155d4 0x004171d4 4   10   .text   utf16le M¤Õā blocks=Basic Latin,Latin-1 Supplement,Latin Extended-A
237   0x000155e2 0x004171e2 4   10   .text   utf16le Y¤Õā blocks=Basic Latin,Latin-1 Supplement,Latin Extended-A
238   0x000155f0 0x004171f0 4   10   .text   utf16le Y¤Öā blocks=Basic Latin,Latin-1 Supplement,Latin Extended-A
239   0x000155fe 0x004171fe 4   10   .text   utf16le Y¤×ā blocks=Basic Latin,Latin-1 Supplement,Latin Extended-A
240   0x0001588c 0x0041748c 5   6    .text   ascii   K\v^\vY
241   0x00015a24 0x00417624 4   5    .text   ascii   \f!P\a
242   0x00015a36 0x00417636 4   5    .text   ascii   &!P\a
243   0x00015a3c 0x0041763c 4   5    .text   ascii   .!P\a
244   0x00015a42 0x00417642 4   5    .text   ascii   9!j\a
245   0x00015a90 0x00417690 4   5    .text   ascii   \v#P\a
246   0x00015a97 0x00417697 4   5    .text   ascii   #*\t6
247   0x00015ac6 0x004176c6 4   5    .text   ascii   \f!P\a
248   0x00015acc 0x004176cc 4   5    .text   ascii   0$P\a
249   0x00015ad2 0x004176d2 4   5    .text   ascii   5$P\a
250   0x00015ad8 0x004176d8 4   5    .text   ascii   :$P\a
251   0x00015ade 0x004176de 4   5    .text   ascii   @$P\a
252   0x00015ae4 0x004176e4 4   5    .text   ascii   D$P\a
253   0x00015aea 0x004176ea 4   5    .text   ascii   N$a\t
254   0x00015af0 0x004176f0 5   6    .text   ascii   V$P\a1
255   0x00015b38 0x00417738 4   5    .text   ascii   B%*\t
256   0x00015b44 0x00417744 4   5    .text   ascii   N%P\a
257   0x00015b4a 0x0041774a 5   6    .text   ascii   W%P\a1
258   0x00015b50 0x00417750 5   6    .text   ascii   b%*\t1
259   0x00015b5c 0x0041775c 5   6    .text   ascii   }%*\t1
260   0x00015b68 0x00417768 4   5    .text   ascii   y&*\t
261   0x00015b98 0x00417798 4   5    .text   ascii   _'P\a
262   0x00015b9e 0x0041779e 4   5    .text   ascii   e'*\t
263   0x00015ba4 0x004177a4 4   5    .text   ascii   j'*\t
264   0x00015baa 0x004177aa 4   5    .text   ascii   o'P\a
265   0x00015bb0 0x004177b0 4   5    .text   ascii   z'P\a
266   0x00015bfe 0x004177fe 4   5    .text   ascii   n(P\a
267   0x00015c04 0x00417804 4   5    .text   ascii   t(P\a
268   0x00015c10 0x00417810 4   5    .text   ascii   }(P\a
269   0x00015c76 0x00417876 4   5    .text   ascii   i+0\v
270   0x00015c7d 0x0041787d 4   5    .text   ascii   +5\v!
271   0x00015c9b 0x0041789b 4   5    .text   ascii   ,j\a!
272   0x00015cee 0x004178ee 5   6    .text   ascii   </"\f!
273   0x00015cf4 0x004178f4 5   6    .text   ascii   H/*\f!
274   0x00015cfa 0x004178fa 5   6    .text   ascii   Y/3\f!
275   0x00015d00 0x00417900 4   5    .text   ascii   g/*\f
276   0x00015d06 0x00417906 4   5    .text   ascii   z/=\f
277   0x00015d19 0x00417919 4   5    .text   ascii   /F\f&
278   0x00015d31 0x00417931 4   5    .text   ascii   6P\a&
279   0x00015dae 0x004179ae 5   6    .text   ascii   g;j\a!
280   0x00015dde 0x004179de 5   6    .text   ascii   +<P\a&
281   0x00015dea 0x004179ea 5   6    .text   ascii   <<P\a&
282   0x00015df0 0x004179f0 5   6    .text   ascii   E<P\aV
283   0x00015e08 0x00417a08 5   6    .text   ascii   t?j\a!
284   0x00015e8c 0x00417a8c 5   6    .text   ascii   QCP\a!
285   0x00015ebd 0x00417abd 4   5    .text   ascii   Cj\a1
286   0x00015ece 0x00417ace 4   5    .text   ascii   i+0\v
287   0x00015edb 0x00417adb 4   5    .text   ascii   +5\v3
288   0x00015f16 0x00417b16 4   5    .text   ascii   $KP\a
