Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
262  0x00002b8d 0x0001378d 4   5    .text   ascii   l$8H
263  0x00002b92 0x00013792 4   5    .text   ascii   t$@H
264  0x00002bb5 0x000137b5 5   6    .text   ascii   x ATH
265  0x00002c91 0x00013891 4   5    .text   ascii   \$0H
266  0x00002c96 0x00013896 4   5    .text   ascii   l$8H
267  0x00002c9b 0x0001389b 4   5    .text   ascii   t$@H
268  0x00002ca0 0x000138a0 4   5    .text   ascii   |$HH
269  0x00002cb2 0x000138b2 4   5    .text   ascii   \$\bH
270  0x00002d58 0x00013958 4   5    .text   ascii   \$0H
271  0x00002d5d 0x0001395d 4   5    .text   ascii   l$8H
272  0x00002d62 0x00013962 4   5    .text   ascii   t$@3
273  0x00002d94 0x00013994 4   5    .text   ascii   BKL+
274  0x00002dad 0x000139ad 4   5    .text   ascii   J8M;
275  0x00002e66 0x00013a66 5   6    .text   ascii   \$\bWH
276  0x00002eae 0x00013aae 5   6    .text   ascii   D\b@\rH
277  0x00002ece 0x00013ace 4   5    .text   ascii   \$0H
278  0x00002ef1 0x00013af1 5   6    .text   ascii   { ATH
279  0x00002f02 0x00013b02 5   7    .text   utf8    ىD$$H blocks=Arabic,Basic Latin
280  0x00003173 0x00013d73 4   5    .text   ascii   \$PH
281  0x00003178 0x00013d78 4   5    .text   ascii   l$XH
282  0x0000317d 0x00013d7d 4   5    .text   ascii   t$`H
283  0x00003182 0x00013d82 4   5    .text   ascii   |$hH
284  0x0000319f 0x00013d9f 4   5    .text   ascii   \$\bH
285  0x000031ec 0x00013dec 7   8    .text   ascii   t1L9A\bu
286  0x000032ab 0x00013eab 4   5    .text   ascii   \$0H
287  0x000032b0 0x00013eb0 4   5    .text   ascii   t$8H
288  0x000032d1 0x00013ed1 4   5    .text   ascii   Z8L;
289  0x000032d6 0x00013ed6 4   5    .text   ascii   thL;
290  0x000032e6 0x00013ee6 4   5    .text   ascii   BML;
291  0x0000334e 0x00013f4e 5   6    .text   ascii   \$\bWH
292  0x00003371 0x00013f71 5   6    .text   ascii   \bfA9@
293  0x0000342a 0x0001402a 4   5    .text   ascii   \$0H
294  0x00003477 0x00014077 6   7    .text   ascii   A9P\buj
295  0x000034fa 0x000140fa 5   6    .text   ascii   \$\bWH
296  0x0000357f 0x0001417f 4   5    .text   ascii   D$8A
297  0x000035f7 0x000141f7 4   5    .text   ascii   \$0H
298  0x000036d7 0x000142d7 5   7    .text   utf8    \vȉJPH blocks=Basic Latin,Latin Extended-B
299  0x000037c1 0x000143c1 4   5    .text   ascii   \$8H
300  0x000037c6 0x000143c6 4   5    .text   ascii   t$@H
301  0x000037da 0x000143da 4   5    .text   ascii   \$\bH
302  0x0000383d 0x0001443d 4   5    .text   ascii   J8u5
303  0x000038fc 0x000144fc 4   5    .text   ascii   \$0H
304  0x00003901 0x00014501 4   5    .text   ascii   t$8H
305  0x00003921 0x00014521 5   6    .text   ascii   x ATH
306  0x00003a6b 0x0001466b 4   5    .text   ascii   \$0H
307  0x00003a70 0x00014670 4   5    .text   ascii   l$8H
308  0x00003a75 0x00014675 4   5    .text   ascii   t$@H
309  0x00003a7a 0x0001467a 4   5    .text   ascii   |$HH
310  0x00003b56 0x00014756 5   6    .text   ascii   \$\bWH
311  0x00003ba5 0x000147a5 4   5    .text   ascii   \$0H
312  0x00003cdd 0x000148dd 5   6    .text   ascii   x ATH
313  0x00003d29 0x00014929 4   5    .text   ascii   g8E3
314  0x00003d8a 0x0001498a 4   5    .text   ascii   KMMc
315  0x00003eda 0x00014ada 4   5    .text   ascii   \$@H
316  0x00003edf 0x00014adf 4   5    .text   ascii   l$HH
317  0x00003ee4 0x00014ae4 4   5    .text   ascii   t$PH
318  0x00003ee9 0x00014ae9 4   5    .text   ascii   |$XH
319  0x00003efe 0x00014afe 5   6    .text   ascii   \$\bWH
320  0x00003f97 0x00014b97 5   7    .text   utf8    DICx3
321  0x00003fa0 0x00014ba0 4   5    .text   ascii   \$0H
322  0x00003fb2 0x00014bb2 4   5    .text   ascii   \$\bH
323  0x00003fbf 0x00014bbf 10  11   .text   ascii   WATAUAVAWH
324  0x000040a5 0x00014ca5 7   8    .text   ascii   A9l$\|7
325  0x000040b2 0x00014cb2 4   5    .text   ascii   L$XD
326  0x000041ee 0x00014dee 4   5    .text   ascii   \$PH
327  0x000041f3 0x00014df3 4   5    .text   ascii   l$XH
328  0x000041f8 0x00014df8 4   5    .text   ascii   t$`H
329  0x000041fe 0x00014dfe 10  11   .text   ascii    A_A^A]A\_
330  0x00004212 0x00014e12 5   6    .text   ascii   \$\bWH
331  0x00004283 0x00014e83 4   5    .text   ascii   tPD;
332  0x000042b2 0x00014eb2 4   5    .text   ascii   ~\fD+
333  0x0000431d 0x00014f1d 4   5    .text   ascii   \$0H
334  0x00004444 0x00015044 13  14   .text   ascii   t$ WATAUAVAWH
335  0x00004665 0x00015265 4   5    .text   ascii   \bfA;
336  0x0000466a 0x0001526a 4   5    .text   ascii   v)D9
337  0x00004698 0x00015298 4   5    .text   ascii   ~pD)
338  0x000047cc 0x000153cc 4   5    .text   ascii   C`H;
339  0x000047ee 0x000153ee 7   8    .text   ascii   ;L$P~\b3
340  0x00004808 0x00015408 5   6    .text   ascii   {x\auC
341  0x0000489b 0x0001549b 4   5    .text   ascii   \$XH
342  0x000048a0 0x000154a0 4   5    .text   ascii   l$`H
343  0x000048a5 0x000154a5 4   5    .text   ascii   t$hH
344  0x000048ab 0x000154ab 10  11   .text   ascii    A_A^A]A\_
345  0x000048be 0x000154be 4   5    .text   ascii   \$\bH
346  0x00004908 0x00015508 5   6    .text   ascii   \bfA9@
347  0x0000491e 0x0001551e 4   5    .text   ascii   \bfA9
348  0x00004af7 0x000156f7 4   5    .text   ascii   \$0H
