[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
240  0x00003b20 0x0040a920 4   6    .rsrc   utf8    1L\rä blocks=Basic Latin,Latin-1 Supplement
241  0x00003b37 0x0040a937 5   6    .rsrc   ascii   yT}7\a
242  0x00003b43 0x0040a943 4   6    .rsrc   utf8    xěvU blocks=Basic Latin,Latin Extended-A
243  0x00003b51 0x0040a951 5   6    .rsrc   ascii   q6EKY
244  0x00003bbb 0x0040a9bb 4   5    .rsrc   ascii   ~gcc
245  0x00003bec 0x0040a9ec 4   5    .rsrc   ascii   BpE+
246  0x00003bf6 0x0040a9f6 4   5    .rsrc   ascii   %$R:
247  0x00003c25 0x0040aa25 4   5    .rsrc   ascii   OFtU
248  0x00003c41 0x0040aa41 6   7    .rsrc   ascii   =d?3N)
249  0x00003c4e 0x0040aa4e 5   6    .rsrc   ascii   M26^~
250  0x00003c7b 0x0040aa7b 4   5    .rsrc   ascii   C7:d
251  0x00003cf9 0x0040aaf9 5   6    .rsrc   ascii   \rVVWh
252  0x00003d02 0x0040ab02 4   5    .rsrc   ascii   [K2M
253  0x00003d4c 0x0040ab4c 4   5    .rsrc   ascii   'j`+
254  0x00003e07 0x0040ac07 4   8    .rsrc   utf8    \tFㄓX blocks=Basic Latin,Bopomofo
255  0x00003e38 0x0040ac38 7   9    .rsrc   utf8    :Ai֓G\bO blocks=Basic Latin,Hebrew
256  0x00003e67 0x0040ac67 5   8    .rsrc   utf8    d&Hb眓 blocks=Basic Latin,CJK Unified Ideographs
257  0x00003e7d 0x0040ac7d 4   5    .rsrc   ascii   tJ6<
258  0x00003e83 0x0040ac83 5   6    .rsrc   ascii   %>_w@
259  0x00003e96 0x0040ac96 5   8    .rsrc   utf8    _эĿ\f\a blocks=Basic Latin,Cyrillic,Latin Extended-A
260  0x00003ea9 0x0040aca9 7   8    .rsrc   ascii   []Yycoo
261  0x00003f4e 0x0040ad4e 4   5    .rsrc   ascii   Qy|$
262  0x00003f7c 0x0040ad7c 4   5    .rsrc   ascii   >D-S
263  0x00003f9c 0x0040ad9c 4   5    .rsrc   ascii   \[R\b
264  0x00003fde 0x0040adde 4   5    .rsrc   ascii   Vv}?
265  0x00004015 0x0040ae15 5   6    .rsrc   ascii   h(Ens
266  0x00004037 0x0040ae37 4   5    .rsrc   ascii   8<9a
267  0x00004138 0x0040af38 4   6    .rsrc   utf8    @K A blocks=Basic Latin,Latin-1 Supplement
268  0x00004155 0x0040af55 4   5    .rsrc   ascii   '$YF
269  0x0000417e 0x0040af7e 4   6    .rsrc   utf8    +iΏ1 blocks=Basic Latin,Greek and Coptic
270  0x000041a9 0x0040afa9 4   5    .rsrc   ascii   `9V\
