[Strings]
nth  paddr      vaddr      len size section  type    string
164  0x00003a67 0x00404667 4   5    .text    ascii   D$\bH
165  0x00003a93 0x00404693 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
166  0x00003ab8 0x004046b8 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
167  0x00003adb 0x004046db 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
168  0x00003ae2 0x004046e2 4   5    .text    ascii   D$\bG
169  0x00003b0e 0x0040470e 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
170  0x00003b33 0x00404733 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
171  0x00003b56 0x00404756 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
172  0x00003b5d 0x0040475d 4   5    .text    ascii   D$\b2
173  0x00003bb2 0x004047b2 4   6    .text    utf8    )čD$ blocks=Basic Latin,Latin Extended-A
174  0x00003c81 0x00404881 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
175  0x00003cb4 0x004048b4 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
176  0x00003cd7 0x004048d7 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
177  0x00003cde 0x004048de 4   5    .text    ascii   D$\b>
178  0x00003d0b 0x0040490b 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
179  0x00003d30 0x00404930 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
180  0x00003d53 0x00404953 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
181  0x00003d5a 0x0040495a 4   5    .text    ascii   D$\b>
182  0x00003d87 0x00404987 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
183  0x00003dac 0x004049ac 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
184  0x00003dcf 0x004049cf 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
185  0x00003dd6 0x004049d6 4   5    .text    ascii   D$\b>
186  0x00003e03 0x00404a03 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
187  0x00003e28 0x00404a28 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
188  0x00003e4b 0x00404a4b 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
189  0x00003e52 0x00404a52 4   5    .text    ascii   D$\b>
190  0x00003e7f 0x00404a7f 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
191  0x00003ea4 0x00404aa4 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
192  0x00003ec7 0x00404ac7 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
193  0x00003ece 0x00404ace 4   5    .text    ascii   D$\b9
194  0x00003efb 0x00404afb 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
195  0x00003f20 0x00404b20 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
196  0x00003f43 0x00404b43 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
