[Strings]
nth paddr      vaddr      len  size section type    string
170 0x00002b8a 0x0040498a 4    5    .data   ascii   t$(H
171 0x00002b8f 0x0040498f 9    10   .data   ascii   P\bH;T$(w(
172 0x00002bb4 0x004049b4 4    5    .data   ascii   |$@H
173 0x00002bc5 0x004049c5 10   11   .data   ascii   t$0H+T$8H;
174 0x00002bd5 0x004049d5 4    5    .data   ascii   d$\bL
175 0x00002c6f 0x00404a6f 5    6    .data   ascii   t\r<a|
176 0x00002c81 0x00404a81 4    5    .data   ascii   RWVH
177 0x00002c86 0x00404a86 5    7    .data   utf8    r<H3-
178 0x00002ca4 0x00404aa4 4    6    .data   utf8    ʋX H blocks=IPA Extensions,Basic Latin
179 0x000033e0 0x004051e0 7    8    .data   ascii   Global\
180 0x00003410 0x00405210 9    10   .data   ascii   ntdll.dll
181 0x00003450 0x00405250 6    7    .data   ascii   STATIC
182 0x00003458 0x00405258 7    8    .data   ascii   Default
183 0x00003460 0x00405260 20   42   .data   utf16le \BaseNamedObjects\%S
184 0x000036ec 0x004054ec 4    5    .data   ascii   GCTL
185 0x000036f8 0x004054f8 5    6    .data   ascii   .data
186 0x00003708 0x00405508 6    7    .data   ascii   .rdata
187 0x00003718 0x00405518 13   14   .data   ascii   .rdata$zzzdbg
188 0x00003730 0x00405530 8    9    .data   ascii   .text$mn
189 0x00003744 0x00405544 6    7    .data   ascii   .xdata
190 0x00003754 0x00405554 4    5    .data   ascii   .bss
191 0x00003764 0x00405564 6    7    .data   ascii   .pdata
192 0x00003774 0x00405574 8    9    .data   ascii   .idata$5
193 0x00003788 0x00405588 8    9    .data   ascii   .idata$2
194 0x0000379c 0x0040559c 8    9    .data   ascii   .idata$3
195 0x000037b0 0x004055b0 8    9    .data   ascii   .idata$4
196 0x000037c4 0x004055c4 8    9    .data   ascii   .idata$6
197 0x00003810 0x00405610 4    5    .data   ascii   t$\bH
198 0x0000381c 0x0040561c 4    5    .data   ascii   D$(H
199 0x00003860 0x00405660 5    6    .data   ascii   :\au\vH
200 0x000038f8 0x004056f8 5    6    .data   ascii   t\r<a|
201 0x0000390a 0x0040570a 10   11   .data   ascii   ASARAQAPRQ
202 0x0000393a 0x0040573a 4    5    .data   ascii   @\fI+
