[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
215  0x00003c88 0x00404888 10  11   .text   ascii   urlmon.dll
216  0x00003c94 0x00404894 21  22   .text   ascii   ObtainUserAgentString
217  0x00003cc4 0x004048c4 19  40   .text   utf16le S:(ML;;NRNWNX;;;LW)
218  0x00003cec 0x004048ec 19  40   .text   utf16le SeSecurityPrivilege
219  0x00003d14 0x00404914 23  48   .text   utf16le S:(ML;CIOI;NRNWNX;;;LW)
220  0x00003d58 0x00404958 11  12   .text   ascii   cabinet.dll
221  0x00003d64 0x00404964 9   10   .text   ascii   FCICreate
222  0x00003d70 0x00404970 10  11   .text   ascii   FCIAddFile
223  0x00003d7c 0x0040497c 15  16   .text   ascii   FCIFlushCabinet
224  0x00003d8c 0x0040498c 10  11   .text   ascii   FCIDestroy
225  0x00003d98 0x00404998 19  20   .text   ascii   bcdfghklmnpqrstvwxz
226  0x00003dac 0x004049ac 6   7    .text   ascii   aeiouy
227  0x00003db4 0x004049b4 7   16   .text   utf16le Global\
228  0x00003dc4 0x004049c4 6   14   .text   utf16le Local\
229  0x00003e10 0x00404a10 18  19   .text   ascii   \n\n\n \n\n\n\n\n\n\n\nscript
230  0x00003e24 0x00404a24 5   6    .text   ascii   nbsp;
231  0x00003e2c 0x00404a2c 6   7    .text   ascii   Basic 
232  0x00003e3c 0x00404a3c 9   20   .text   utf16le %s%08x.%s
233  0x00003e50 0x00404a50 6   14   .text   utf16le %s%08x
234  0x00003e6c 0x00404a6c 21  22   .text   ascii   PR_GetNameForIdentity
235  0x00003e84 0x00404a84 11  12   .text   ascii   PR_SetError
236  0x00003e90 0x00404a90 11  12   .text   ascii   PR_GetError
237  0x00003e9c 0x00404a9c 4   5    .text   ascii   Host
238  0x00003ea4 0x00404aa4 14  15   .text   ascii   Content-Length
239  0x00003eb4 0x00404ab4 7   8    .text   ascii   http://
240  0x00003ebc 0x00404abc 9   10   .text   ascii   NSS layer
241  0x00003ec8 0x00404ac8 8   9    .text   ascii   https://
242  0x00003ed4 0x00404ad4 7   8    .text   ascii   Referer
243  0x00003edc 0x00404adc 12  13   .text   ascii   Content-Type
244  0x00003eec 0x00404aec 13  14   .text   ascii   Authorization
245  0x00003efc 0x00404afc 4   5    .text   ascii   \r\n\r\n
246  0x00003f04 0x00404b04 7   8    .text   ascii   HTTP/1.
247  0x00003f0c 0x00404b0c 17  18   .text   ascii   Transfer-Encoding
248  0x00003f20 0x00404b20 7   8    .text   ascii   chunked
249  0x00003f28 0x00404b28 10  11   .text   ascii   Connection
250  0x00003f34 0x00404b34 5   6    .text   ascii   close
251  0x00003f3c 0x00404b3c 16  17   .text   ascii   Proxy-Connection
252  0x00003f58 0x00404b58 4   5    .text   ascii   %x\r\n
253  0x00003f60 0x00404b60 7   8    .text   ascii   \r\n0\r\n\r\n
254  0x00003f68 0x00404b68 8   9    .text   ascii   identity
255  0x00003f74 0x00404b74 15  16   .text   ascii   Accept-Encoding
256  0x00003f88 0x00404b88 17  18   .text   ascii   If-Modified-Since
257  0x00003f9c 0x00404b9c 14  30   .text   utf16le SeTcbPrivilege
258  0x00003fc4 0x00404bc4 4   10   .text   utf16le .txt
259  0x00004026 0x00404c26 6   7    .text   ascii   t4SSSS
260  0x000040ff 0x00404cff 4   5    .text   ascii   u\bW3
261  0x00004129 0x00404d29 4   5    .text   ascii   t\vHu
262  0x00004162 0x00404d62 8   9    .text   ascii   tI8\$\rvC
263  0x0000416c 0x00404d6c 4   5    .text   ascii   D$\rS
264  0x000041c9 0x00404dc9 4   5    .text   ascii   SVWj
265  0x000041ce 0x00404dce 4   5    .text   ascii   [Sh.
266  0x000041dd 0x00404ddd 4   5    .text   ascii   D$(;
267  0x000041fa 0x00404dfa 5   8    .text   utf8    D$@P蛚 blocks=Basic Latin,CJK Unified Ideographs
268  0x00004258 0x00404e58 6   7    .text   ascii   f;t$rt
269  0x00004260 0x00404e60 4   5    .text   ascii   D$@P
270  0x0000426a 0x00404e6a 5   6    .text   ascii   D$@Pf
271  0x000042b1 0x00404eb1 4   5    .text   ascii   D$4P
272  0x000042da 0x00404eda 6   7    .text   ascii   ,;D$$u
273  0x000042e6 0x00404ee6 4   5    .text   ascii   \n;D$
274  0x000042f6 0x00404ef6 4   5    .text   ascii   HWWV
275  0x00004303 0x00404f03 7   8    .text   ascii   D$DPWWj
276  0x0000430c 0x00404f0c 7   8    .text   ascii   D$PPh~f
277  0x00004351 0x00404f51 4   5    .text   ascii   D$4P
278  0x000043b6 0x00404fb6 6   7    .text   ascii   2;t$\fu
279  0x00004406 0x00405006 4   5    .text   ascii   u)Ak
280  0x000044e8 0x004050e8 12  13   .text   ascii   =\[EPt\v=YISQ
281  0x00004609 0x00405209 4   5    .text   ascii   <Pu\f
282  0x0000462c 0x0040522c 5   6    .text   ascii   ]QPGt
283  0x00004634 0x00405234 6   7    .text   ascii   OMAVt\b
284  0x0000463c 0x0040523c 5   6    .text   ascii   YISTu
285  0x0000464a 0x0040524a 6   7    .text   ascii   Z\AVt\f
286  0x00004652 0x00405252 4   5    .text   ascii   EASV
287  0x00004670 0x00405270 4   5    .text   ascii   D$DP
288  0x0000469d 0x0040529d 4   5    .text   ascii   dubj
289  0x000046a3 0x004052a3 5   8    .text   utf8    t$$X踦 blocks=Basic Latin,CJK Unified Ideographs
290  0x000046d3 0x004052d3 5   8    .text   utf8    t$$X舦 blocks=Basic Latin,CJK Unified Ideographs
291  0x00004812 0x00405412 4   5    .text   ascii   Y\f+]
292  0x000049b7 0x004055b7 5   7    .text   utf8    }\n+IE
293  0x000049c6 0x004055c6 4   5    .text   ascii   u\t8]
294  0x00004a32 0x00405632 4   6    .text   utf8    +Eԉu blocks=Basic Latin,Cyrillic Supplement
295  0x00004a50 0x00405650 4   5    .text   ascii   5l(B
296  0x00004b8d 0x0040578d 4   5    .text   ascii   5l(B
297  0x00004b9e 0x0040579e 4   5    .text   ascii   t[9]
298  0x00004c41 0x00405841 4   5    .text   ascii   t$\fW
299  0x00004c46 0x00405846 5   6    .text   ascii   |$\ftP
300  0x00004c59 0x00405859 4   5    .text   ascii   5l(B
