[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
105  0x00002e01 0x00402e01 5   6    .text   ascii   \bSVWU
106  0x00002e3c 0x00402e3c 4   5    .text   ascii   tEVU
107  0x00002e4e 0x00402e4e 4   5    .text   ascii   t3x<
108  0x00002eb1 0x00402eb1 4   5    .text   ascii   ]_^[
109  0x00002f17 0x00402f17 4   6    .text   utf8    U\b3ɸ blocks=Basic Latin,IPA Extensions
110  0x00002f26 0x00402f26 6   7    .text   ascii   \bA=0t@
111  0x00002f8a 0x00402f8a 4   5    .text   ascii   h`d@
112  0x00002fcc 0x00402fcc 4   5    .text   ascii   h\d@
113  0x00002fe0 0x00402fe0 4   5    .text   ascii   h@d@
114  0x00002ffe 0x00402ffe 4   5    .text   ascii   h<d@
115  0x00003097 0x00403097 6   7    .text   ascii   ^Vh|d@
116  0x000030b0 0x004030b0 6   7    .text   ascii   PVhxd@
117  0x00003195 0x00403195 5   8    .text   utf8    3\re̋M blocks=Basic Latin,Combining Diacritical Marks
118  0x000031b4 0x004031b4 4   5    .text   ascii   VWss
119  0x0000324d 0x0040324d 5   6    .text   ascii   M\bS;\r
120  0x00003295 0x00403295 4   5    .text   ascii    t\fj
121  0x000032b3 0x004032b3 4   5    .text   ascii   E\f9}
122  0x000032cd 0x004032cd 5   6    .text   ascii   +M\f;M
123  0x00003332 0x00403332 5   6    .text   ascii   +E\f;E
124  0x00003347 0x00403347 6   7    .text   ascii   9}\bt_j
125  0x0000334e 0x0040334e 6   7    .text   ascii   X9E\buL
126  0x00003406 0x00403406 5   7    .text   utf8    \tA\bt\r
127  0x00003489 0x00403489 4   5    .text   ascii   Yu!j
128  0x000034a2 0x004034a2 4   5    .text   ascii   Yu\bj
129  0x000034ac 0x004034ac 6   8    .text   utf8    Y3ɸ0t@ blocks=Basic Latin,IPA Extensions
130  0x000034ca 0x004034ca 5   7    .text   utf8    3ҹ@t@ blocks=Basic Latin,Cyrillic
131  0x00003532 0x00403532 4   5    .text   ascii   Vt6P
132  0x0000360a 0x0040360a 5   7    .text   utf8    YYÃ|$ blocks=Basic Latin,Latin-1 Supplement
133  0x00003622 0x00403622 5   6    .text   ascii   9D$\bt
134  0x00003658 0x00403658 5   7    .text   utf8    Yt4^Ã blocks=Basic Latin,Latin-1 Supplement
135  0x000036d0 0x004036d0 6   8    .text   utf8    \bX]ÍM\b blocks=Basic Latin,Latin-1 Supplement
136  0x00003737 0x00403737 4   6    .text   utf8    ؋D$\f blocks=Arabic,Basic Latin
137  0x00003774 0x00403774 9   10   .text   ascii   w\br\a;D$\fv
138  0x0000379e 0x0040379e 4   5    .text   ascii   D$\f3
139  0x000037dc 0x004037dc 7   8    .text   ascii   ;T$\fw\br
140  0x000037e4 0x004037e4 9   10   .text   ascii   ;D$\bv\b+D$
141  0x000037f2 0x004037f2 8   9    .text   ascii   +D$\b\eT$\f
142  0x00003836 0x00403836 4   5    .text   ascii   #D$\b
143  0x0000385a 0x0040385a 4   5    .text   ascii   Y;5<
144  0x0000387b 0x0040387b 4   5    .text   ascii   90tr
145  0x0000394a 0x0040394a 4   6    .text   utf8    rKE\b
146  0x00003a3c 0x00403a3c 5   6    .text   ascii   \rt\fHt
147  0x00003a5d 0x00403a5d 7   9    .text   utf8    Wj@Y3?`
148  0x00003ac8 0x00403ac8 4   5    .text   ascii   t7SW
149  0x00003ae4 0x00403ae4 4   5    .text   ascii       
150  0x00003bb6 0x00403bb6 4   5    .text   ascii   @AA;
151  0x00003cfd 0x00403cfd 4   5    .text   ascii   D$\b_
152  0x00003d13 0x00403d13 5   7    .text   utf8    D$\b_È blocks=Basic Latin,Latin-1 Supplement
153  0x00003d1b 0x00403d1b 4   5    .text   ascii   D$\b_
154  0x00003e79 0x00403e79 4   5    .text   ascii   E\b^_
155  0x00003e85 0x00403e85 4   5    .text   ascii   E\b^_
156  0x00003e97 0x00403e97 4   5    .text   ascii   E\b^_
157  0x00003eb1 0x00403eb1 4   5    .text   ascii   E\b^_
158  0x00004011 0x00404011 4   5    .text   ascii   E\b^_
159  0x0000401f 0x0040401f 4   5    .text   ascii   E\b^_
160  0x00004035 0x00404035 4   5    .text   ascii   E\b^_
161  0x0000404f 0x0040404f 4   5    .text   ascii   E\b^_
162  0x00004101 0x00404101 8   9    .text   ascii   <xt\r<Xt\t
163  0x00004125 0x00404125 4   5    .text   ascii   <Xu\b
164  0x00004177 0x00404177 4   5    .text   ascii   ~\vWV
165  0x0000421a 0x0040421a 4   5    .text   ascii   u,9E
166  0x00004290 0x00404290 6   8    .text   utf8    3\nD$\bS
167  0x000042c3 0x004042c3 4   6    .text   utf8    V\v؋\n blocks=Basic Latin,Arabic
168  0x00004302 0x00404302 4   5    .text   ascii   ^_[3
169  0x0000433a 0x0040433a 5   7    .text   utf8    ^_[ÍB blocks=Basic Latin,Latin-1 Supplement
170  0x00004341 0x00404341 5   7    .text   utf8    ^_[ÍB blocks=Basic Latin,Latin-1 Supplement
171  0x0000434f 0x0040434f 7   9    .text   utf8    ̋L$\bWSV blocks=Combining Diacritical Marks,Basic Latin
172  0x00004384 0x00404384 4   5    .text   ascii   ^[_3
173  0x000043c6 0x004043c6 4   6    .text   utf8    ^[_Ë blocks=Basic Latin,Latin-1 Supplement
174  0x00004417 0x00404417 4   5    .text   ascii   L$\br
175  0x000044b9 0x004044b9 4   5    .text   ascii   M\bSV
176  0x00004506 0x00404506 4   5    .text   ascii   ]\fu~
177  0x00004519 0x00404519 5   6    .text   ascii   ;K\buL
178  0x0000455d 0x0040455d 4   5    .text   ascii   M\b!Y
179  0x000045b1 0x004045b1 5   6    .text   ascii   u\fK^;
180  0x000045d7 0x004045d7 5   6    .text   ascii   ;q\bu@
181  0x000045f7 0x004045f7 4   5    .text   ascii   M\b!1
182  0x00004617 0x00404617 4   5    .text   ascii   M\b!q
183  0x00004666 0x00404666 5   6    .text   ascii   ;N\bu`
184  0x000046b3 0x004046b3 4   5    .text   ascii   M\b\tY
185  0x0000475d 0x0040475d 4   5    .text   ascii   uiSj
186  0x00004832 0x00404832 5   7    .text   utf8    ;߉]\bs blocks=Basic Latin,NKo
187  0x00004859 0x00404859 5   7    .text   utf8    ;؉]\bs blocks=Basic Latin,Arabic
188  0x00004875 0x00404875 4   5    .text   ascii   uY;]
189  0x00004891 0x00404891 6   8    .text   utf8    ;؉]\bs\r blocks=Basic Latin,Arabic
190  0x000048af 0x004048af 4   6    .text   utf8    ۉ]\bt blocks=Arabic,Basic Latin
191  0x000048fe 0x004048fe 4   5    .text   ascii   pD#U
192  0x00004951 0x00404951 4   5    .text   ascii   j #M
193  0x0000497a 0x0040497a 4   5    .text   ascii   j?^;
194  0x00004988 0x00404988 5   6    .text   ascii   ;J\bua
195  0x00004a26 0x00404a26 5   6    .text   ascii   ;J\bud
196  0x00004a33 0x00404a33 4   5    .text   ascii   M\v})
197  0x00004b60 0x00404b60 5   7    .text   utf8    ;ǉF\fu blocks=Basic Latin,Latin Extended-B
198  0x00004b9a 0x00404b9a 5   6    .text   ascii   M\bSVW
199  0x00004ba3 0x00404ba3 4   6    .text   utf8    A\b3ۅ blocks=Basic Latin,Arabic
200  0x00004c6d 0x00404c6d 4   7    .text   utf8    D\vE\b
201  0x00004c97 0x00404c97 6   7    .text   ascii   SUVWu\a
202  0x00004dcf 0x00404dcf 4   5    .text   ascii   _^][
203  0x00004dd6 0x00404dd6 4   5    .text   ascii   t$\bh
204  0x00004e8d 0x00404e8d 4   5    .text   ascii   M\bt\r
205  0x00004f41 0x00404f41 4   6    .text   utf8    ^ËD$ blocks=Basic Latin,Latin-1 Supplement
206  0x00004f48 0x00404f48 5   6    .text   ascii   L$\b+H
207  0x00004f7c 0x00404f7c 4   5    .text   ascii    u\bj
208  0x00004f8b 0x00404f8b 4   5    .text   ascii   QQSV
209  0x00005136 0x00405136 4   6    .text   utf8    #IG\f
210  0x000051ae 0x004051ae 5   7    .text   utf8    ǉ]\br! blocks=Latin Extended-B,Basic Latin
211  0x000051fc 0x004051fc 4   5    .text   ascii   sN;E
212  0x00005207 0x00405207 7   8    .text   ascii   \f)u\f9U\f
213  0x00005223 0x00405223 4   5    .text   ascii   ;u\br
214  0x00005232 0x00405232 5   6    .text   ascii   ;E\bsv
215  0x00005246 0x00405246 4   5    .text   ascii   u%C@
216  0x0000524f 0x0040524f 6   7    .text   ascii   ;]\bs\t+
217  0x00005271 0x00405271 8   9    .text   ascii   )E\f9U\fr4
218  0x00005287 0x00405287 6   8    .text   utf8    ;]\bs\t+
219  0x000052bd 0x004052bd 5   6    .text   ascii   VWuBh
220  0x000052d3 0x004052d3 4   5    .text   ascii   5 `@
221  0x0000533f 0x0040533f 5   7    .text   utf8    ̋L$\fW blocks=Combining Diacritical Marks,Basic Latin
222  0x00005347 0x00405347 4   5    .text   ascii   tzVS
223  0x00005368 0x00405368 5   6    .text   ascii   \aGIt%
224  0x0000538d 0x0040538d 4   5    .text   ascii   t/Ku
225  0x000053bc 0x004053bc 4   5    .text   ascii   \aGKu
226  0x000053c4 0x004053c4 5   7    .text   utf8    D$\b_É blocks=Basic Latin,Latin-1 Supplement
227  0x00005424 0x00405424 6   8    .text   utf8    It\n3\t\a
228  0x0000543f 0x0040543f 4   6    .text   utf8    ̋T$\f blocks=Combining Diacritical Marks,Basic Latin
229  0x0000544a 0x0040544a 8   10   .text   utf8    tG3\nD$\bW
230  0x0000545f 0x0040545f 8   10   .text   utf8    t\b+ш\aGIu blocks=Basic Latin,Cyrillic
231  0x00005488 0x00405488 4   5    .text   ascii   \aGJu
232  0x0000548e 0x0040548e 7   9    .text   utf8    D$\b_ËD$ blocks=Basic Latin,Latin-1 Supplement
233  0x000054a9 0x004054a9 4   5    .text   ascii   ;\bt 
234  0x000054af 0x004054af 4   5    .text   ascii   \bB=h
235  0x0000553f 0x0040553f 5   6    .text   ascii   It\bIu
236  0x00005576 0x00405576 5   7    .text   utf8    _^ËD$ blocks=Basic Latin,Latin-1 Supplement
237  0x000055c6 0x004055c6 4   5    .text   ascii   u\bw\r
238  0x0000561f 0x0040561f 5   6    .text   ascii   u?Vj\b
239  0x000056e2 0x004056e2 4   5    .text   ascii   F\r@t
240  0x000056fd 0x004056fd 4   5    .text   ascii   t$\f3
